start	end	text
0	2000	I don't know what you're talking about.
2000	4000	I don't know what you're talking about.
4000	6000	I don't know what you're talking about.
6000	8000	I don't know what you're talking about.
8000	10000	I don't know what you're talking about.
10000	12000	I don't know what you're talking about.
12000	14000	I don't know what you're talking about.
14000	16000	I don't know what you're talking about.
16000	18000	I don't know what you're talking about.
18000	20000	I don't know what you're talking about.
20000	22000	I don't know what you're talking about.
24000	26000	I don't know what you're talking about.
26000	28000	I don't know what you're talking about.
28000	30000	I don't know what you're talking about.
30000	32000	I don't know what you're talking about.
32000	34000	I don't know what you're talking about.
34000	36000	I don't know what you're talking about.
36000	38000	I don't know what you're talking about.
38000	40000	I don't know what you're talking about.
40000	42000	I don't know what you're talking about.
43000	45000	I don't know what you're talking about.
45000	47000	I don't know what you're talking about.
47000	49000	I don't know what you're talking about.
51000	53000	I don't know what you're talking about.
55000	57000	I don't know what you're talking about.
57000	87000	ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ �
87000	97000	ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽ ὅ᾽rentanὔ
97000	127000	ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ �
127000	157000	ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍ�
157820	161820	ḍḽ ḍḽ ḍ ḍḿ ḍḽ ḍḽ ḍḾ ḍḽ ḍḾ
181040	185920	ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽ ḍḽḿ
217000	247000	ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ �
247000	277000	ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ �¾
277000	279000	I don't know, I don't know, I don't know, I don't know, I don't know.
